time,value
0:00:00,1187
0:10:00,1186
0:20:00,1186
0:30:00,1186
0:40:00,1183
0:50:00,1185
1:00:00,1186
1:10:00,1187
1:20:00,1186
1:30:00,1186
1:40:00,1187
1:50:00,1186
2:00:00,1186
2:10:00,1186
2:20:00,1187
2:30:00,1186
2:40:00,1186
2:50:00,1184
3:00:00,1186
3:10:00,1186
3:20:00,1186
3:30:00,1187
3:40:00,1185
3:50:00,1186
4:00:00,1186
4:10:00,1186
4:20:00,1186
4:30:00,1186
4:40:00,1181
4:50:00,1186
5:00:00,1186
5:10:00,1184
5:20:00,1186
5:30:00,1186
5:40:00,1187
5:50:00,1186
6:00:00,1186
6:10:00,1187
6:20:00,1186
6:30:00,1186
6:40:00,1186
6:50:00,1187
7:00:00,1185
7:10:00,1187
7:20:00,1181
7:30:00,1183
7:40:00,1187
7:50:00,1187
8:00:00,1186
8:10:00,1183
8:20:00,1183
8:30:00,1186
8:40:00,1186
8:50:00,1185
9:00:00,1186
9:10:00,1187
9:20:00,1187
9:30:00,1186
9:40:00,1186
9:50:00,1186
10:00:00,1184
10:10:00,1187
10:20:00,1187
10:30:00,1186
10:40:00,1186
10:50:00,1187
11:00:00,1186
11:10:00,1186
11:20:00,1187
11:30:00,1187
11:40:00,1187
11:50:00,1186
12:00:00,1184
12:10:00,1186
12:20:00,1187
12:30:00,1186
12:40:00,1185
12:50:00,1187
13:00:00,1187
13:10:00,1186
13:20:00,1187
13:30:00,1187
13:40:00,1186
13:50:00,1187
14:00:00,1186
14:10:00,1186
14:20:00,1186
14:30:00,1187
14:40:00,1186
14:50:00,1183
15:00:00,1186
15:10:00,1186
15:20:00,1185
15:30:00,1187
15:40:00,1187
15:50:00,1184
16:00:00,1186
16:10:00,1187
16:20:00,1187
16:30:00,1185
16:40:00,1185
16:50:00,1187
17:00:00,1187
17:10:00,1186
17:20:00,1187
17:30:00,1187
17:40:00,1187
17:50:00,1186
18:00:00,1187
18:10:00,1187
18:20:00,1186
18:30:00,1186
18:40:00,1187
18:50:00,1180
19:00:00,1185
19:10:00,1187
19:20:00,1186
19:30:00,1187
19:40:00,1186
19:50:00,1186
20:00:00,1186
20:10:00,1185
20:20:00,1187
20:30:00,1187
20:40:00,1187
20:50:00,1187
21:00:00,1186
21:10:00,1187
21:20:00,1186
21:30:00,1186
21:40:00,1187
21:50:00,1185
22:00:00,1187
22:10:00,1186
22:20:00,1187
22:30:00,1186
22:40:00,1185
22:50:00,1186
23:00:00,1186
23:10:00,1187
23:20:00,1186
23:30:00,1185
23:40:00,1186
23:50:00,1185
