record_time,uplink_length,downlink_length
2019-06-11 09:30:00,148,148
2019-06-11 09:35:00,45,45
2019-06-11 09:40:00,66,66
2019-06-11 09:45:00,12,12
2019-06-11 09:50:00,8,8
2019-06-11 09:55:00,12,12
2019-06-11 10:00:00,529,529
2019-06-11 10:05:00,81,81
2019-06-11 10:10:00,28,28
2019-06-11 10:15:00,59,59
2019-06-11 10:20:00,29,29
2019-06-11 10:25:00,45,45
2019-06-11 10:30:00,49,49
2019-06-11 10:35:00,30,30
2019-06-11 10:40:00,127,127
2019-06-11 10:45:00,102,102
2019-06-11 10:50:00,216,216
2019-06-11 10:55:00,32,32
2019-06-11 11:00:00,29,29
2019-06-11 11:05:00,16,16
2019-06-11 11:10:00,23,23
2019-06-11 11:15:00,37,37
2019-06-11 11:20:00,25,25
2019-06-11 11:25:00,22,22
2019-06-11 11:30:00,268,268
2019-06-11 11:35:00,17,17
2019-06-11 11:40:00,54,54
2019-06-11 11:45:00,29,29
2019-06-11 11:50:00,25,25
2019-06-11 11:55:00,20,20
2019-06-11 12:00:00,26,26
2019-06-11 12:05:00,23,23
2019-06-11 12:10:00,16,16
2019-06-11 12:15:00,16,16
2019-06-11 12:20:00,16,16
2019-06-11 12:25:00,18,18
2019-06-11 12:30:00,18,18
2019-06-11 12:35:00,17,17
2019-06-11 12:40:00,46,46
2019-06-11 12:45:00,26,26
2019-06-11 12:50:00,16,16
2019-06-11 12:55:00,20,20
2019-06-11 13:00:00,15,15
2019-06-11 13:05:00,30,30
2019-06-11 13:10:00,25,25
2019-06-11 13:15:00,15,15
2019-06-11 13:20:00,16,16
2019-06-11 13:25:00,15,15
2019-06-11 13:30:00,27,27
2019-06-11 13:35:00,20,20
2019-06-11 13:40:00,52,52
2019-06-11 13:45:00,31,31
2019-06-11 13:50:00,25,25
2019-06-11 13:55:00,40,40
2019-06-11 14:00:00,23,23
2019-06-11 14:05:00,17,17
2019-06-11 14:10:00,26,26
2019-06-11 14:15:00,16,16
2019-06-11 14:20:00,15,15
2019-06-11 14:25:00,15,15
2019-06-11 14:30:00,19,19
2019-06-11 14:35:00,39,39
2019-06-11 14:40:00,69,69
2019-06-11 14:45:00,75,75
2019-06-11 14:50:00,116,116
2019-06-11 14:55:00,16,16
2019-06-11 15:00:00,38,38
2019-06-11 15:05:00,104,104
2019-06-11 15:10:00,38,38
2019-06-11 15:15:00,22,22
2019-06-11 15:20:00,18,18
2019-06-11 15:25:00,21,21
2019-06-11 15:30:00,45,45
2019-06-11 15:35:00,59,59
2019-06-11 15:40:00,79,79
2019-06-11 15:45:00,21,21
2019-06-11 15:50:00,33,33
2019-06-11 15:55:00,59,59
2019-06-11 16:00:00,19,19
2019-06-11 16:05:00,51,51
2019-06-11 16:10:00,18,18
2019-06-11 16:15:00,26,26
2019-06-11 16:20:00,24,24
2019-06-11 16:25:00,15,15
2019-06-11 16:30:00,18,18
2019-06-11 16:35:00,17,17
2019-06-11 16:40:00,68,68
2019-06-11 16:45:00,47,47
2019-06-11 16:50:00,78,78
2019-06-11 16:55:00,44,44
2019-06-11 17:00:00,18,18
2019-06-11 17:05:00,20,20
2019-06-11 17:10:00,17,17
2019-06-11 17:15:00,32,32
2019-06-11 17:20:00,42,42
2019-06-11 17:25:00,16,16
2019-06-11 17:30:00,24,24
2019-06-11 17:35:00,36,36
2019-06-11 17:40:00,85,85
2019-06-11 17:45:00,47,47
2019-06-11 17:50:00,28,28
2019-06-11 17:55:00,28,28
2019-06-11 18:00:00,34,34
2019-06-11 18:05:00,41,41
2019-06-11 18:10:00,41,41
2019-06-11 18:15:00,17,17
2019-06-11 18:20:00,27,27
2019-06-11 18:25:00,22,22
2019-06-11 18:30:00,30,30
2019-06-11 18:35:00,210,210
2019-06-11 18:40:00,70,70
2019-06-11 18:45:00,17,17
2019-06-11 18:50:00,18,18
2019-06-11 18:55:00,15,15
2019-06-11 19:00:00,14,14
2019-06-11 19:05:00,32,32
2019-06-11 19:10:00,16,16
