time,value
0:00:00,592
0:10:00,592
0:20:00,591
0:30:00,592
0:40:00,592
0:50:00,592
1:00:00,591
1:10:00,592
1:20:00,592
1:30:00,592
1:40:00,591
1:50:00,592
2:00:00,592
2:10:00,592
2:20:00,592
2:30:00,591
2:40:00,591
2:50:00,592
3:00:00,592
3:10:00,591
3:20:00,592
3:30:00,592
3:40:00,592
3:50:00,591
4:00:00,592
4:10:00,592
4:20:00,592
4:30:00,591
4:40:00,591
4:50:00,592
5:00:00,591
5:10:00,592
5:20:00,591
5:30:00,592
5:40:00,592
5:50:00,592
6:00:00,591
6:10:00,592
6:20:00,592
6:30:00,592
6:40:00,591
6:50:00,592
7:00:00,592
7:10:00,592
7:20:00,592
7:30:00,591
7:40:00,592
7:50:00,592
8:00:00,592
8:10:00,591
8:20:00,592
8:30:00,592
8:40:00,592
8:50:00,591
9:00:00,592
9:10:00,592
9:20:00,592
9:30:00,591
9:40:00,592
9:50:00,591
10:00:00,592
10:10:00,592
10:20:00,591
10:30:00,588
10:40:00,592
10:50:00,591
11:00:00,591
11:10:00,596
11:20:00,588
11:30:00,592
11:40:00,592
11:50:00,597
12:00:00,592
12:10:00,592
12:20:00,592
12:30:00,591
12:40:00,592
12:50:00,592
13:00:00,594
13:10:00,592
13:20:00,597
13:30:00,595
13:40:00,592
13:50:00,592
14:00:00,599
14:10:00,591
14:20:00,592
14:30:00,592
14:40:00,592
14:50:00,591
15:00:00,592
15:10:00,592
15:20:00,588
15:30:00,591
15:40:00,592
15:50:00,592
16:00:00,592
16:10:00,592
16:20:00,591
16:30:00,592
16:40:00,602
16:50:00,592
17:00:00,592
17:10:00,591
17:20:00,592
17:30:00,592
17:40:00,592
17:50:00,592
18:00:00,591
18:10:00,591
18:20:00,592
18:30:00,592
18:40:00,591
18:50:00,592
19:00:00,592
19:10:00,592
19:20:00,591
19:30:00,592
19:40:00,592
19:50:00,592
20:00:00,592
20:10:00,591
20:20:00,592
20:30:00,592
20:40:00,592
20:50:00,591
21:00:00,592
21:10:00,597
21:20:00,592
21:30:00,592
21:40:00,591
21:50:00,592
22:00:00,597
22:10:00,595
22:20:00,596
22:30:00,592
22:40:00,591
22:50:00,592
23:00:00,592
23:10:00,592
23:20:00,591
23:30:00,598
23:40:00,595
23:50:00,592
