time,value
9:50:00,4
10:00:00,3
10:10:00,2
10:20:00,2
10:30:00,1
10:40:00,1
10:50:00,3
11:00:00,3
11:10:00,1
11:20:00,3
11:30:00,2
11:40:00,3
11:50:00,3
14:00:00,1
14:10:00,3
14:20:00,3
14:30:00,4
14:40:00,3
14:50:00,1
15:00:00,6
15:10:00,4
15:20:00,4
15:30:00,2
15:40:00,2
15:50:00,2
16:00:00,5
16:10:00,1
16:20:00,1
16:30:00,2
16:40:00,1
17:00:00,3
17:10:00,2
17:20:00,2
17:30:00,1
17:40:00,1
17:50:00,1
18:00:00,2
18:10:00,2
18:20:00,3
18:30:00,5
18:40:00,6
18:50:00,2
19:00:00,7
19:10:00,2
19:20:00,4
19:30:00,2
19:40:00,2
20:00:00,3
20:10:00,4
20:20:00,3
20:30:00,1
20:40:00,2
20:50:00,2
21:10:00,1
21:20:00,1
21:30:00,2
