record_time,uplink_length,downlink_length
2019-06-12 04:55:00,19,19
2019-06-12 05:00:00,12,12
2019-06-12 05:05:00,24,24
2019-06-12 05:10:00,14,14
2019-06-12 05:15:00,9,9
2019-06-12 05:20:00,36,36
2019-06-12 05:25:00,36,36
2019-06-12 05:30:00,36,36
2019-06-12 05:35:00,34,34
2019-06-12 05:40:00,76,76
2019-06-12 05:45:00,34,34
2019-06-12 05:50:00,40,40
2019-06-12 05:55:00,30,30
2019-06-12 06:00:00,35,35
2019-06-12 06:05:00,33,33
2019-06-12 06:10:00,33,33
2019-06-12 06:15:00,32,32
2019-06-12 06:20:00,43,43
2019-06-12 06:25:00,32,32
2019-06-12 06:30:00,42,42
2019-06-12 06:35:00,17,17
2019-06-12 06:40:00,54,54
2019-06-12 06:45:00,11,11
2019-06-12 06:50:00,27,27
2019-06-12 06:55:00,10,10
2019-06-12 07:00:00,16,16
2019-06-12 07:05:00,21,21
2019-06-12 07:10:00,14,14
2019-06-12 07:15:00,9,9
2019-06-12 07:20:00,38,38
2019-06-12 07:25:00,34,34
2019-06-12 07:30:00,35,35
2019-06-12 07:35:00,21,21
2019-06-12 07:40:00,56,56
2019-06-12 07:45:00,10,10
2019-06-12 07:50:00,20,20
2019-06-12 07:55:00,14,14
2019-06-12 08:00:00,15,15
2019-06-12 08:05:00,16,16
2019-06-12 08:10:00,13,13
2019-06-12 08:15:00,9,9
2019-06-12 08:20:00,39,39
2019-06-12 08:25:00,29,29
2019-06-12 08:30:00,21,21
2019-06-12 08:35:00,19,19
2019-06-12 08:40:00,77,77
2019-06-12 08:45:00,44,44
2019-06-12 08:50:00,42,42
2019-06-12 08:55:00,33,33
2019-06-12 09:00:00,15,15
2019-06-12 09:05:00,13,13
2019-06-12 09:10:00,14,14
2019-06-12 09:15:00,22,22
2019-06-12 09:20:00,33,33
2019-06-12 09:25:00,15,15
2019-06-12 09:30:00,14,14
2019-06-12 09:35:00,20,20
2019-06-12 09:40:00,77,77
2019-06-12 09:45:00,163,163
2019-06-12 09:50:00,24,24
2019-06-12 09:55:00,34,34
2019-06-12 10:00:00,36,36
2019-06-12 10:05:00,44,44
2019-06-12 10:10:00,38,38
2019-06-12 10:15:00,45,45
2019-06-12 10:20:00,43,43
2019-06-12 10:25:00,24,24
2019-06-12 10:30:00,213,213
2019-06-12 10:35:00,53,53
2019-06-12 10:40:00,74,74
2019-06-12 10:45:00,52,52
2019-06-12 10:50:00,51,51
2019-06-12 10:55:00,82,82
2019-06-12 11:00:00,84,84
2019-06-12 11:05:00,178,178
2019-06-12 11:10:00,26,26
2019-06-12 11:15:00,40,40
2019-06-12 11:20:00,48,48
2019-06-12 11:25:00,47,47
2019-06-12 11:30:00,22,22
2019-06-12 11:35:00,49,49
2019-06-12 11:40:00,88,88
2019-06-12 11:45:00,32,32
2019-06-12 11:50:00,17,17
2019-06-12 11:55:00,22,22
2019-06-12 12:00:00,18,18
2019-06-12 12:05:00,13,13
2019-06-12 12:10:00,15,15
2019-06-12 12:15:00,194,194
2019-06-12 12:20:00,506,506
2019-06-12 12:25:00,64,64
2019-06-12 12:30:00,59,59
2019-06-12 12:35:00,69,69
2019-06-12 12:40:00,102,102
2019-06-12 12:45:00,55,55
2019-06-12 12:50:00,45,45
2019-06-12 12:55:00,44,44
2019-06-12 13:00:00,37,37
2019-06-12 13:05:00,59,59
2019-06-12 13:10:00,61,61
2019-06-12 13:15:00,64,64
2019-06-12 13:20:00,68,68
2019-06-12 13:25:00,63,63
2019-06-12 13:30:00,54,54
2019-06-12 13:35:00,41,41
2019-06-12 13:40:00,92,92
2019-06-12 13:45:00,59,59
2019-06-12 13:50:00,76,76
2019-06-12 13:55:00,63,63
2019-06-12 14:00:00,66,66
2019-06-12 14:05:00,61,61
2019-06-12 14:10:00,72,72
2019-06-12 14:15:00,57,57
2019-06-12 14:20:00,62,62
2019-06-12 14:25:00,68,68
2019-06-12 14:30:00,63,63
2019-06-12 14:35:00,77,77
2019-06-12 14:40:00,120,120
2019-06-12 14:45:00,71,71
2019-06-12 14:50:00,68,68
2019-06-12 14:55:00,59,59
2019-06-12 15:00:00,80,80
2019-06-12 15:05:00,72,72
2019-06-12 15:10:00,58,58
2019-06-12 15:15:00,61,61
2019-06-12 15:20:00,78,78
2019-06-12 15:25:00,61,61
2019-06-12 15:30:00,71,71
2019-06-12 15:35:00,41,41
2019-06-12 15:40:00,594,594
2019-06-12 15:45:00,40,40
2019-06-12 15:50:00,46,46
2019-06-12 15:55:00,38,38
2019-06-12 16:00:00,40,40
2019-06-12 16:05:00,219,219
2019-06-12 16:10:00,40,40
2019-06-12 16:15:00,30,30
2019-06-12 16:20:00,50,50
2019-06-12 16:25:00,37,37
2019-06-12 16:30:00,34,34
2019-06-12 16:35:00,37,37
2019-06-12 16:40:00,102,102
2019-06-12 16:45:00,38,38
2019-06-12 16:50:00,15,15
2019-06-12 16:55:00,32,32
2019-06-12 17:00:00,27,27
2019-06-12 17:05:00,28,28
2019-06-12 17:10:00,34,34
2019-06-12 17:15:00,39,39
2019-06-12 17:20:00,37,37
2019-06-12 17:25:00,38,38
2019-06-12 17:30:00,36,36
2019-06-12 17:35:00,46,46
2019-06-12 17:40:00,80,80
2019-06-12 17:45:00,42,42
2019-06-12 17:50:00,33,33
2019-06-12 17:55:00,35,35
2019-06-12 18:00:00,33,33
2019-06-12 18:05:00,36,36
2019-06-12 18:10:00,317,317
2019-06-12 18:15:00,292,292
2019-06-12 18:20:00,60,60
2019-06-12 18:25:00,47,47
2019-06-12 18:30:00,40,40
2019-06-12 18:35:00,26,26
2019-06-12 18:40:00,82,82
2019-06-12 18:45:00,43,43
2019-06-12 18:50:00,56,56
2019-06-12 18:55:00,46,46
2019-06-12 19:00:00,46,46
2019-06-12 19:05:00,46,46
2019-06-12 19:10:00,205,205
2019-06-12 19:15:00,799,799
2019-06-12 19:20:00,98,98
2019-06-12 19:25:00,88,88
2019-06-12 19:30:00,86,86
2019-06-12 19:35:00,90,90
2019-06-12 19:40:00,132,132
2019-06-12 19:45:00,77,77
2019-06-12 19:50:00,79,79
2019-06-12 19:55:00,87,87
2019-06-12 20:00:00,79,79
2019-06-12 20:05:00,91,91
2019-06-12 20:10:00,90,90
2019-06-12 20:15:00,85,85
2019-06-12 20:20:00,100,100
2019-06-12 20:25:00,80,80
2019-06-12 20:30:00,76,76
2019-06-12 20:35:00,108,108
2019-06-12 20:40:00,126,126
2019-06-12 20:45:00,70,70
2019-06-12 20:50:00,74,74
2019-06-12 20:55:00,70,70
2019-06-12 21:00:00,84,84
2019-06-12 21:05:00,80,80
2019-06-12 21:10:00,80,80
2019-06-12 21:15:00,60,60
2019-06-12 21:20:00,92,92
2019-06-12 21:25:00,78,78
2019-06-12 21:30:00,80,80
2019-06-12 21:35:00,80,80
2019-06-12 21:40:00,124,124
2019-06-12 21:45:00,73,73
2019-06-12 21:50:00,86,86
2019-06-12 21:55:00,78,78
2019-06-12 22:00:00,79,79
2019-06-12 22:05:00,80,80
2019-06-12 22:10:00,80,80
2019-06-12 22:15:00,79,79
2019-06-12 22:20:00,88,88
2019-06-12 22:25:00,83,83
2019-06-12 22:30:00,101,101
2019-06-12 22:35:00,83,83
2019-06-12 22:40:00,128,128
2019-06-12 22:45:00,76,76
2019-06-12 22:50:00,86,86
2019-06-12 22:55:00,77,77
2019-06-12 23:00:00,85,85
2019-06-12 23:05:00,82,82
2019-06-12 23:10:00,78,78
2019-06-12 23:15:00,64,64
2019-06-12 23:20:00,81,81
2019-06-12 23:25:00,291,291
2019-06-12 23:30:00,141,141
2019-06-12 23:35:00,207,207
2019-06-12 23:40:00,179,179
2019-06-12 23:45:00,72,72
2019-06-12 23:50:00,60,60
2019-06-12 23:55:00,46,46
