time,value
0:00:00,4
0:10:00,4
0:20:00,4
0:30:00,4
0:40:00,4
0:50:00,3
1:00:00,5
1:10:00,4
1:20:00,3
1:30:00,5
1:40:00,4
1:50:00,3
2:00:00,5
2:10:00,4
2:20:00,4
2:30:00,4
2:40:00,4
2:50:00,3
3:00:00,5
3:10:00,4
3:20:00,3
3:30:00,5
3:40:00,3
3:50:00,4
4:00:00,4
4:10:00,4
4:20:00,3
4:30:00,4
4:40:00,5
4:50:00,3
5:00:00,4
5:10:00,4
5:20:00,4
5:30:00,4
5:40:00,4
5:50:00,4
6:00:00,4
6:10:00,4
6:20:00,3
6:30:00,5
6:40:00,4
6:50:00,3
7:00:00,4
7:10:00,4
7:20:00,4
7:30:00,4
7:40:00,4
7:50:00,4
8:00:00,4
8:10:00,3
8:20:00,5
8:30:00,4
8:40:00,3
8:50:00,5
9:00:00,4
9:10:00,3
9:20:00,5
9:30:00,4
9:40:00,3
9:50:00,4
10:00:00,5
10:10:00,3
10:20:00,4
10:30:00,4
10:40:00,4
10:50:00,4
11:00:00,4
11:10:00,4
11:20:00,4
11:30:00,4
11:40:00,3
11:50:00,4
12:00:00,4
12:10:00,3
12:20:00,5
12:30:00,3
12:40:00,4
12:50:00,4
13:00:00,4
13:10:00,4
13:20:00,4
13:30:00,4
13:40:00,4
13:50:00,4
14:00:00,3
14:10:00,5
14:20:00,4
14:30:00,3
14:40:00,4
14:50:00,5
15:00:00,3
15:10:00,3
15:20:00,6
15:30:00,3
15:40:00,4
15:50:00,4
16:00:00,4
16:10:00,4
16:20:00,4
16:30:00,4
16:40:00,4
16:50:00,4
17:00:00,3
17:10:00,5
17:20:00,4
17:30:00,3
17:40:00,5
17:50:00,3
18:00:00,4
18:10:00,4
18:20:00,4
18:30:00,4
18:40:00,4
18:50:00,3
19:00:00,5
19:10:00,4
19:20:00,3
19:30:00,5
19:40:00,4
19:50:00,3
20:00:00,4
20:10:00,5
20:20:00,3
20:30:00,3
20:40:00,6
20:50:00,3
21:00:00,3
21:10:00,5
21:20:00,4
21:30:00,4
21:40:00,4
21:50:00,4
22:00:00,4
22:10:00,4
22:20:00,3
22:30:00,5
22:40:00,4
22:50:00,3
23:00:00,5
23:10:00,3
23:20:00,4
23:30:00,4
23:40:00,4
23:50:00,4
